X2024.1	X2024.2	X2024.3	X2024.4	U3047	U3013	U3117	U3056	U3039	U3017	U3071	U3073	U3020	e12A
ENSG00000000003.15_TSPAN6	7.48598625572796	8.02673259283651	7.94538830335943	7.83263899386144	10.6424224691728	9.71749924044664	9.24842471836079	9.47888407049034	10.2353889823642	9.69609623588884	9.55417766330714	9.22391853891659	9.58809357954173	8.68034717454567
ENSG00000000419.14_DPM1	9.29413094460408	9.01127589225426	9.2396398833655	9.27670602595352	8.98220377809925	9.42797315792933	9.03218251430846	9.74665879683683	9.02478796186373	8.75382237112996	9.35895859928303	9.53008029740704	9.58256322325138	10.5461928667594
ENSG00000000457.14_SCYL3	7.97070876028365	7.84585112262183	7.94538830335943	8.0885916219276	7.88125123403307	8.13579884027746	7.70510634893155	8.02676032549613	7.99645705012784	7.91230949577859	8.01516080506189	8.16874687727283	7.60529482116862	8.43521268014753
ENSG00000000460.17_C1orf112	6.72652394171337	6.81723848968873	6.59828017081138	6.52844803209806	8.15889721277699	9.05664089968906	8.07905118579722	8.73657381045364	8.3128186087534	8.05454498920711	8.62301610201157	8.40479122559286	8.77723584314866	8.85515479408137
ENSG00000000938.13_FGR	6.98711053049619	7.34409322933239	7.63496697932336	7.2344597255592	5.94861164591972	5.87732206722348	5.86998289389508	5.68284451378311	5.68284451378311	5.9555519989533	5.89381224656971	6.07928586664725	5.68284451378311	5.68284451378311
ENSG00000000971.16_CFH	7.63646143318034	8.9257816257865	8.81682432372882	8.56156642944853	6.24387743081612	6.63840577363219	7.49034598924494	5.88968124369097	8.5695428367655	5.68284451378311	11.7965894943621	7.76464845041742	6.58015829001123	8.38838369515092
ENSG00000001036.14_FUCA2	8.41828727292446	8.36983377477385	8.63623375335156	8.27474701206974	9.48237658174797	11.1576754161715	9.50508004714066	9.90672339927303	10.4095609375963	9.60657046127051	11.1976461132498	8.60622419387744	10.9316080696502	5.68284451378311
ENSG00000001084.13_GCLC	9.03473821340915	9.25509166842498	9.76224999078988	9.33231118759374	7.37873592559038	9.04895014896575	8.97316923145107	8.61134274746021	10.1003420194728	8.19717906772937	9.1913472048734	8.44666580249533	9.06500434437774	9.37166525488159
ENSG00000001167.15_NFYA	8.94624829695236	9.24299562151849	9.31202596445153	9.38582705850374	9.92406181971161	10.1642796835827	9.40121762912667	9.53163787628062	9.47153670534245	10.2795318875284	9.51764642131733	8.82369692555958	9.28596758361656	9.85989756276731
ENSG00000001460.18_STPG1	9.38533599649279	9.30712550342562	9.04396491693174	9.17992217404228	6.47142022818144	6.82085904203488	6.24116274771668	5.68284451378311	6.17242075521853	5.87582114587221	6.19733769597893	8.06914439303293	6.27561037278655	7.80152145189831
ENSG00000001461.17_NIPAL3	11.5818609602569	11.2314114376977	10.9546289838656	11.2785204125633	9.95114020397548	10.5221287827139	10.3418096933495	7.64849775815151	7.65399174857484	8.47118275734556	9.48461845486158	10.9926171583904	8.82527370871503	10.3547504872164
ENSG00000001497.18_LAS1L	9.00319719817002	8.64035260860298	8.55969302886775	8.6527100454886	10.0921544782004	10.2774758856421	9.44871345257929	10.0679072079845	9.7364765417217	9.86135921127478	9.87753639382743	10.2901850182195	10.1771558192177	9.79304336275958
ENSG00000001561.7_ENPP4	9.49945955376972	9.73356933065981	9.79359663884954	10.0731205805306	8.26834949623497	7.8915866746313	5.86998289389508	5.68284451378311	6.13641175416405	5.68284451378311	6.04760468642132	6.51489256038635	5.96380252521584	7.92956192810773
ENSG00000001617.12_SEMA3F	7.36982055207947	7.9300115467572	8.19647689609725	8.50876963197669	6.17831407884293	6.11640551871915	6.05633982564	5.68284451378311	6.26681689354766	5.9555519989533	5.68284451378311	6.27520941131478	6.33716860447988	6.27899957864761
ENSG00000001629.10_ANKIB1	9.15789409575819	9.74728775158003	9.83936735633941	9.80206579279907	10.6056274745704	10.6786006632742	11.0545267703501	10.873543727805	11.6754333738067	11.249749317182	11.4329758884394	10.6027644624911	10.9729037624463	10.5492590166293
ENSG00000001630.17_CYP51A1	10.9490579088222	11.0700607055539	10.6443161082618	10.9345965989929	12.3257293357076	11.1320496392596	11.8136585186621	12.5196278791628	12.2339540742919	11.7865237268787	13.0007216160898	12.6608115181037	11.7858528368196	11.7205899394809
ENSG00000001631.16_KRIT1	9.01510764260011	9.26230022752209	9.32284266263731	9.37792665654648	9.14393104442022	9.52317702423102	9.24220754746074	9.60630478788966	10.0146767637272	10.0465012867825	9.7902963066214	9.25210055492843	9.5451371303357	9.4567936682714
ENSG00000002016.18_RAD52	6.90772525427154	7.34409322933239	7.05272752047294	7.28579631660471	8.19489080416931	8.05925300175051	8.24981955338649	8.14328979703186	8.2683817556902	9.01507457308082	8.78891100427417	8.40479122559286	8.28633650910717	7.92166773286857
ENSG00000002330.14_BAD	11.262047211947	10.1775325326277	10.1457980112439	10.13513672797	9.33698766616152	9.16962128468182	9.57419405873879	9.15170138762204	9.28165174412753	9.10057748181906	9.05350065900033	9.20481529272116	9.54703189274786	9.87955593924179
ENSG00000002549.13_LAP3	9.42440017713689	9.64104499655648	10.1442810589295	10.2927009446154	10.0944683235742	10.1260891503128	10.9364382222675	11.0255786183808	10.9078641920769	10.8462845569847	11.9720540744736	10.8707594096981	10.461800214184	10.2032906555274
ENSG00000002586.20_CD99	8.41828727292446	9.7438704444613	9.20494650751212	8.75886373335188	11.3933633612319	11.7345771559463	11.6248689597251	8.66584732097816	11.8206973212171	10.725887678512	11.8556252747433	10.7084540129808	13.1107168085689	8.57179277692211
ENSG00000002586.20_PAR_Y_CD99	8.04446925025396	9.7438704444613	9.328220359926	8.75886373335188	12.4654106438599	10.3496544099087	11.7905748537439	11.1389228364324	11.3252079122464	10.888959466923	10.3023033133017	12.568331318647	12.0373449972792	10.7335765862102
ENSG00000002587.10_HS3ST1	7.97910919380145	7.85915566114945	8.03668281496882	8.07521943748856	9.0389975487827	8.0380812752985	8.83615859150958	6.26442239974694	8.68051696965576	6.06794128148704	6.95945246848098	6.36528317425941	7.76587189072612	6.54869493260398
ENSG00000002746.15_HECW1	10.5199218316642	10.6749790450522	10.3854412258286	10.9777001883469	6.5712747697339	5.95766986836285	6.68810230735074	6.44840586315469	8.34425367400633	6.37256334707479	6.19733769597893	5.88153238041385	5.68284451378311	6.54869493260398
ENSG00000002822.16_MAD1L1	9.64378593802943	9.04239849986576	9.05376621478769	9.19801651183398	8.93350223318574	9.2808349025767	9.4378923727717	9.65082809333536	9.46804640828892	9.71683753008581	9.45990301948231	8.58398826722422	9.54134005237281	9.5714336096591
