U3017,U3056,U3047,U3020,X2024-2,U3013,X2024-3,U3117,U3071,U3073,X2024-4,U3039,X2024-1
cg25950325,3.98565423662864,5.13555812535585,4.26791008772004,-4.03886948878698,-4.07815536414589,4.83409056676615,-4.08200865048464,1.21943509458521,4.31286910827526,1.85932598260875,-3.89563983957213,-2.42577865658278,-3.91992066172752
cg09591072,5.72147629931191,3.10597299953869,5.8183428124646,-0.406406104296272,-5.95761854206777,3.2747126312406,-5.5937468646634,-1.06393318357437,1.93888264197089,-4.77441178863097,-5.94196483296149,-0.292578492416357,-5.68220138566986
cg24607181,4.62133778986128,4.62144376668204,2.06482192560665,-5.29018658804609,-5.46366245592445,-4.87342340294898,-5.20392442607015,-0.866824987919394,2.36551527125597,-2.90770735406326,-5.39405807380263,-3.74380445224408,-5.31505579374233
cg13469471,0.976908869557192,1.52766042211454,6.41727706420321,-0.806568024337194,-6.37406582964607,0.646918548369719,-6.06733675052789,0.132244022667035,0.426911242257102,6.22704264359662,-6.0335553002701,-4.13147771510756,-5.77749295895698
cg16963144,4.69906037289949,5.32625410548417,4.83244605261407,-0.93750129624025,-3.91423052124899,5.14930434649657,-3.85633479577495,4.98050649829224,5.61997652076877,0.0130854621668443,-3.85427920360408,4.30250951283177,-3.65599270384114
cg04797323,5.63476953992365,1.40656432212678,-0.129970110431765,5.13521264712922,-4.37274818580167,1.9072799973541,-3.68283017300748,2.46006178608488,5.73515314561772,1.8970622013764,-4.43274543493646,-5.583657696657,-3.82496224957859
cg27289462,-0.251456478580869,4.70562306600785,0.529223294728208,4.91803689277096,-4.31660091826999,4.74644837743416,-5.96976639839297,-1.62162729219677,5.2696712670854,5.52108958276492,-5.67105585262693,-1.77845419008357,-5.88922137814852
cg23003534,-5.92850448083683,5.69193026636835,-5.05543397710925,-5.62290011012251,-6.00619554501053,-5.6543894985877,-6.3953290886814,-5.91942488250476,-1.47334223602665,4.83034734774875,-6.23205233707048,-5.41242063146444,-6.23948645693537
cg10178263,5.73267064630199,4.29436126149729,4.33119567204052,-0.564417391489943,-6.1284071073278,-1.25846252098547,-6.17227828492848,0.464875612322018,-1.61402121860015,-2.62471163006406,-6.27761057853722,-1.62757765381107,-5.70706206872369
cg19704726,5.90229958954384,6.66432506839818,6.5497076878592,6.53788319757172,-6.54431043021834,6.03975800400966,-6.74438048521021,5.83056534331944,6.94626553476313,0.019108641663,-6.62989847703712,5.69348081223285,-6.2856054436633
cg02623400,5.41382050112999,5.89251939419263,6.4425458482833,-3.95007997261372,-3.51957289865483,6.01501230464156,-5.77909504523374,0.367705147828272,6.48092262600841,6.10356141499304,-5.6186400441357,5.96563839601797,-6.10630521560219
cg13352750,6.33215274708575,5.89308474359543,6.36365227627894,5.95171351607931,-5.48256345960974,0.817984790179529,-6.00528709895705,6.33125571541805,2.67741106370971,6.16010146961773,-5.60933718992164,6.28591583953334,-5.50649370169806
cg11889769,4.95872181241636,5.2102014200334,0.72318311944265,1.55202860240555,-5.46785223591228,5.32345654350655,-5.63620176599319,-0.0531273356675835,-0.165740558662048,1.08979277559479,-5.60771033245563,0.844640346866913,-5.38402036857517
cg00884093,5.26033337038308,5.20566260521372,5.71284555577985,4.84042979745569,-5.37849947558579,5.29506258267528,-6.0770322716373,3.64134955724465,5.96226230521311,5.4275098776177,-6.01747230674097,0.155898882953733,-5.98598836564965
cg01649597,-2.86387160292115,6.34242671894576,-2.85431458234475,-2.07925049880213,-6.46734918115353,-6.27350219203107,-6.43171933576251,3.92771069765764,1.59243737713136,-5.49365009763406,-6.30579475949386,-5.95365888852866,-6.35540748832123
cg05060949,0.850357238449975,0.568262864460987,6.60444541701907,3.71390588918791,-6.05977155890656,0.251340509386651,-5.95630615216517,6.41905258971191,-0.0628635764500349,-0.0316217037940165,-5.35775664075327,-0.0413693182566469,-5.88524966106196
cg19504702,1.55629785285913,1.89438390849966,5.44814156159891,0.761412476227287,-5.93234682573529,5.63346441506798,-6.19767355243954,4.68526458256484,4.86695300478308,5.36779559704063,-5.68300127792837,-5.42609036608288,-6.26624228377454
cg18252039,4.756614457808,5.17392521039259,1.04641720909796,-0.183793040589287,-4.34409746457412,4.07049890877729,-5.51363313101451,4.90656054801956,4.69457097947588,1.35720933461597,-4.59308527260876,2.7295783080193,-5.27906518582697
cg14486338,5.48844800378413,5.52778078374017,5.79379886676473,5.44034586819073,-2.76869288897894,4.713792528246,-3.74990165105947,4.3714757437791,5.5039302540241,3.17697527058336,-2.93309654473473,4.31834694135845,-4.3642600118259
cg22678952,5.19187978301258,3.67158423010386,2.9707531817972,-6.18606794012273,-6.59257009254528,-6.1391015002121,-6.33301107870441,-0.621077586957028,-5.55300111030319,-3.05421284779034,-6.34046535089605,-0.337390651344254,-6.39382860883948
cg21697172,3.46309711476558,1.46168198500171,4.50237001370399,-0.847805093329682,-4.70221235216525,4.74328954877241,-4.94817398061863,4.68684961323303,4.87386617187517,4.48008045985511,-4.78333112175782,-4.32575049299597,-5.35461990154931
cg08812555,6.11251284330881,6.2716700719178,2.39410457543051,-2.20892261582414,-5.44944698268364,-6.23343183238025,-4.55569672396714,0.795474629149097,-6.17616487160556,-6.36070343505017,-5.84167974131878,4.92576459166572,-5.84317435933085
cg00578917,5.27400360336852,5.35262938487458,2.98794088272393,4.58248662561712,-4.70450408241035,4.96093715692031,-5.05693892062041,5.30853749997902,4.47421905917336,4.95065339400689,-3.85870420820477,1.05259839855432,-4.99181372038851
